RekurID;ID
14;9780
13;9180
11;9776
14;9777
24;9173
20;9172
9;9182
11;9187
4;9763
4;9190
10;9189
5;9778
3;9762
14;9181
2;9188
2;9163
4;9764
11;9175
1;9184
7;9775
13;9772
6;9179
9;9162
7;9183
14;9171
7;9774
15;9177
5;9761
9;9174
9;9277
5;9771
14;9275
14;9773
8;9178
8;9274
6;9185
3;9186
3;9261
5;9262
6;9161
2;9279
17;9271
7;9779
23;9176
12;9273
10;9278
16;9272
4;9263
5;9577
30;9571
3;9362
5;9375
13;9276
3;9576
15;9373
20;9372
4;9561
2;9565
21;9371
4;9564
4;9376
7;9679
2;9563
3;9361
10;9676
10;9575
1;9573
2;9572
3;9562
1;9574
16;9374
4;9474
11;9472
6;9363
13;9677
3;9663
7;9675
18;9471
16;9671
3;9461
4;9661
1;9678
4;9462
12;9377
2;9662
7;9674
23;9672
5;9478
2;9477
2;9479
12;9673
10;9473
8;9476
14;9475
3;9463
3;9464
