LandID;DestinationID;LandName;StadtID;StadtName;Stadt;SonneStrand;Party;Wintersport;WellnessErholung;NaturCamping;SportFahrradWandern;Kreutzfahrt;Kultur;Gesundheitstourismus
1;01001;Deutschland;1;Berlin;1;0;1;0;0;0;0;0;1;0
1;01002;Deutschland;2;Hamburg;1;0;1;0;0;0;0;1;1;0
1;01003;Deutschland;3;Muenchen;1;0;1;0;0;0;0;0;1;0
1;01004;Deutschland;4;Koeln;1;0;1;0;0;0;0;0;1;0
1;01005;Deutschland;5;Frankfurt am Main;1;0;1;0;0;0;0;0;1;0
1;01006;Deutschland;6;Essen;1;0;1;0;0;0;0;0;1;0
1;01007;Deutschland;7;Stuttgart;1;0;1;0;0;0;0;0;1;0
1;01008;Deutschland;8;Leipzig;1;0;1;0;0;0;0;0;1;0
1;01009;Deutschland;9;Dresden;1;0;1;0;0;0;0;0;1;0
1;01010;Deutschland;10;Dortmund;1;0;1;0;0;0;0;0;1;0
1;01011;Deutschland;11;Duesseldorf;1;0;1;0;0;0;0;0;1;0
1;01012;Deutschland;12;Bremen;1;0;1;0;0;0;0;0;1;0
1;01013;Deutschland;13;Hannover;1;0;1;0;0;0;0;0;1;0
1;01014;Deutschland;14;Nuernberg;1;0;1;0;0;0;0;0;1;0
1;01015;Deutschland;15;Kiel;0;0;0;0;0;0;0;1;0;0
1;01016;Deutschland;16;Bremerhaven;0;0;0;0;0;0;0;1;0;0
1;01017;Deutschland;17;Cuxhafen;0;0;0;0;0;0;0;1;0;0
1;01018;Deutschland;18;Rostock/WarnemÅnde;0;0;0;0;0;0;0;1;0;0
2;02001;Griechenland;1;Limassol;0;1;0;0;0;0;0;1;0;0
2;02002;Griechenland;2;Piraus;0;1;0;0;0;0;0;1;1;0
2;02003;Griechenland;3;Heraklion;0;1;0;0;0;0;0;1;1;0
2;02004;Griechenland;4;Athen;1;1;1;0;0;0;0;1;1;0
3;03003;Spanien;1;Madrid;1;0;1;0;0;0;0;0;1;0
3;01002;Spanien;2;Barcelona;1;1;1;0;0;0;0;1;1;0
3;01003;Spanien;3;Valencia;1;1;1;0;0;0;0;1;1;0
3;01004;Spanien;4;Bayonne;0;0;0;0;0;0;0;1;0;0
3;01005;Spanien;5;Santander;0;0;0;0;0;0;0;1;0;0
3;01006;Spanien;6;Vigo;0;0;0;0;0;0;0;1;0;0
3;01007;Spanien;7;Sevilla;1;0;1;0;0;0;0;0;1;0
3;01008;Spanien;8;Palma de Mallorca;0;1;1;0;0;0;0;1;0;0
3;01009;Spanien;9;Saragossa;1;0;1;0;0;0;0;0;1;0
3;01010;Spanien;10;A Coruna;0;0;0;0;0;0;0;1;0;0
3;01011;Spanien;11;Bilbao;0;0;0;0;0;0;0;1;1;0
3;01012;Spanien;12;Cadiz;0;0;0;0;0;0;0;1;0;0
3;01013;Spanien;13;Malaga;1;1;1;0;0;0;0;1;1;0
4;01001;Frankreich;1;Paris;1;0;1;0;0;0;0;0;1;0
4;01002;Frankreich;2;Le Havre;0;0;0;0;0;0;0;1;0;0
4;01003;Frankreich;3;St. Malo;0;0;0;0;0;0;0;1;0;0
4;01004;Frankreich;4;Ajaccio;0;0;0;0;0;0;0;1;0;0
4;01005;Frankreich;5;La Rochelle;0;0;0;0;0;0;0;1;0;0
4;01006;Frankreich;6;Lyon;1;0;1;0;0;0;0;0;1;0
4;01007;Frankreich;7;Brest;0;0;0;0;0;0;0;1;0;0
4;01008;Frankreich;8;Toulouse;1;0;1;0;0;0;0;0;1;0
4;01009;Frankreich;9;Bordeaux;1;1;1;0;0;0;0;1;1;0
4;01010;Frankreich;10;Nantes;1;0;1;0;0;0;0;1;1;0
4;01011;Frankreich;11;Lille;1;0;1;0;0;0;0;0;1;0
4;01012;Frankreich;12;Marseille;1;1;1;0;0;0;0;1;1;0
4;01013;Frankreich;13;Nizza;1;1;1;0;0;0;0;1;1;0
5;01001;Italien;1;Rom;1;0;1;0;0;0;0;1;1;0
5;01002;Italien;2;Mailand;1;0;1;0;0;0;0;0;1;0
5;01003;Italien;3;Neapel;1;1;1;0;0;0;0;1;1;0
5;01004;Italien;4;Turin;1;0;1;0;0;0;0;0;1;0
5;01005;Italien;5;Palermo;1;1;1;0;0;0;0;1;1;0
5;01006;Italien;6;Genua;1;1;1;0;0;0;0;1;1;0
5;01007;Italien;7;Livorno;0;0;0;0;0;0;0;1;0;0
5;01008;Italien;8;Savona;0;0;0;0;0;0;0;1;0;0
