id;class;location;collaborators;initialPlans
intVal;string;intSet;intSet;intSet
51;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38047,38048,38049,38050,38051,38052,38637,38638,38639,38642,39227,39228,39229,39232,39233,39817,39818,39819,39820,39821,39822,39823,40408,40409,40410,40411,40998,40999,41000,41001};{};{1001}
50;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40412,41002,41003,41591,41592};{};{1001}
49;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41604,41605,41606,42195};{};{1001}
48;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41020,41021,41022,41023,41611,41612,41613,41614,42201,42202,42203,42204,42791,42792,42793,42794};{};{1001}
55;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39824,40413,40414};{};{1001}
54;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39836,39837,39838,39839,39840,39841,40426,40427,40428,40429,40430,40431,41019};{};{1001}
53;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39242,39831,39832,40420,41013};{};{1001}
52;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40421,40422,41012};{};{1001}
59;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38643,39234};{};{1001}
58;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38640,38641,39230,39231};{};{1001}
57;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37475,38064,38065,38066,38654,38655,38656,38657,38658,39243,39244,39245,39246,39247,39248,39249,39833,39834,39835,40423};{};{1001}
56;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38057,38645,38646,38647,39235,39236,39237,39238,39825,39826,39827,39828,39829,39830,40419};{};{1001}
63;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36274,36275,36865,36866,37455,37456,38046};{};{1001}
62;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38062,38063,38652,38653};{};{1001}
61;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37465,38055,38056,38644};{};{1001}
60;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35698,36287,36288,36877,36878,36879,36880,37467,37468,37469,37471,37472,38058,38061,38648,38649,38650,38651,39239,39240,39241};{};{1001}
68;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37461};{};{1001}
69;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36872,37462};{};{1001}
70;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36873,37463,37464};{};{1001}
71;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37466};{};{1001}
64;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38053,38054};{};{1001}
65;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37470,38059,38060};{};{1001}
66;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35680,35683,36270,36271,36272,36860,36861,36862,37450,37451};{};{1001}
67;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36279,36867,36868,36869,36870,36871,37457,37458,37459,37460};{};{1001}
76;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{32733,33323,33913,33914,34504,34505,34506,34507,35094,35095,35096,35684,36273};{};{1001}
77;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35685,35686,36276};{};{1001}
78;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35098,35099,35687,35688,35689,36277,36278};{};{1001}
79;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{33922,34512,34513,34514,34515,35100,35101,35104,35105,35690,35691,35692,35694,35695,36280,36281,36282,36283};{};{1001}
72;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{35109,35110,35112,35699,35700,35701,35702,35703,35704,36289,36290,36294,36884,36885,37473,37474};{};{1001}
73;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36284,36285,36874,36875};{};{1001}
